id	basisOfRecord	occurrenceID	occurrenceRemarks	recordedBy	individualCount	behavior	eventID	order	family	scientificNameAuthorship	vernacularName
T2-3	HumanObservation	ARCOS_ILAM_2017_Rusumo_303		Martin Sindikubwabo, Toa Avalos	12		T2-3			Turdoides sharpei	Black-lored Babbler
T2-3	HumanObservation	ARCOS_ILAM_2017_Rusumo_304		Martin Sindikubwabo, Toa Avalos	1		T2-3			polyboroides typus	African Harrier-Hawk
T2-4	HumanObservation	ARCOS_ILAM_2017_Rusumo_305		Martin Sindikubwabo, Toa Avalos	1		T2-4			Chalcomitra senegalensis	Scarlet-chested Sunbird
T2-4	HumanObservation	ARCOS_ILAM_2017_Rusumo_306		Martin Sindikubwabo, Toa Avalos	2		T2-4			Logonostica rubricata	African Firefich
T2-4	HumanObservation	ARCOS_ILAM_2017_Rusumo_307		Martin Sindikubwabo, Toa Avalos	3		T2-4			Colius striatus	Speckled mousebird
T2-4	HumanObservation	ARCOS_ILAM_2017_Rusumo_308		Martin Sindikubwabo, Toa Avalos	1		T2-4			Ploceus xanthops	Holub's Golden Weaver
T2-4	HumanObservation	ARCOS_ILAM_2017_Rusumo_309		Martin Sindikubwabo, Toa Avalos	1		T2-4			Cinnyris venusta	Variable Sunbird
T2-4	HumanObservation	ARCOS_ILAM_2017_Rusumo_310		Martin Sindikubwabo, Toa Avalos	1		T2-4			Uraeginthus bengalus	Red-cheeked Cordon-bleu
T2-5	HumanObservation	ARCOS_ILAM_2017_Rusumo_311		Martin Sindikubwabo, Toa Avalos	2		T2-5			Lanius excubitoroides	Grey-backed Fiscal
T2-5	HumanObservation	ARCOS_ILAM_2017_Rusumo_312		Martin Sindikubwabo, Toa Avalos	22		T2-5			Quelea quelea	Red-billed Quelea
T2-5	HumanObservation	ARCOS_ILAM_2017_Rusumo_313		Martin Sindikubwabo, Toa Avalos	1		T2-5			Centrepus sperciliosus	White-browed Coucal
T2-5	HumanObservation	ARCOS_ILAM_2017_Rusumo_314		Martin Sindikubwabo, Toa Avalos	1		T2-5			poicephalus meyeri	Brown Parrot
T2-6	HumanObservation	ARCOS_ILAM_2017_Rusumo_315		Martin Sindikubwabo, Toa Avalos	1		T2-6			Kaupifalco monogramicus	Lizard Buzzard
T2-7	HumanObservation	ARCOS_ILAM_2017_Rusumo_316		Martin Sindikubwabo, Toa Avalos	1		T2-7			Mycteria ibis	Yellow-billed Stock
T2-7	HumanObservation	ARCOS_ILAM_2017_Rusumo_317		Martin Sindikubwabo, Toa Avalos	2		T2-7			streptopelia semitorquata	Red-eyed Dove
T2-7	HumanObservation	ARCOS_ILAM_2017_Rusumo_318		Martin Sindikubwabo, Toa Avalos	1		T2-7			Lonchura cucullata	Bronze mannikin
T2-7	HumanObservation	ARCOS_ILAM_2017_Rusumo_319		Martin Sindikubwabo, Toa Avalos	1		T2-7			Lanius excubitoroides	Grey-backed Fiscal
T2-7	HumanObservation	ARCOS_ILAM_2017_Rusumo_320		Martin Sindikubwabo, Toa Avalos	10		T2-7			Quelea quelea	Red-billed Quelea
T2-7	HumanObservation	ARCOS_ILAM_2017_Rusumo_321		Martin Sindikubwabo, Toa Avalos	1		T2-7			Ardea melanocephala	Black-headed Heron
T2-8	HumanObservation	ARCOS_ILAM_2017_Rusumo_322		Martin Sindikubwabo, Toa Avalos	13		T2-8			Quelea quelea	Red-billed Quelea
T2-8	HumanObservation	ARCOS_ILAM_2017_Rusumo_323		Martin Sindikubwabo, Toa Avalos	1		T2-8			Cinnyris venusta	Variable Sunbird
T2-8	HumanObservation	ARCOS_ILAM_2017_Rusumo_324		Martin Sindikubwabo, Toa Avalos	2		T2-8			Euplectes orix	Southern Red Bishop
T2-8	HumanObservation	ARCOS_ILAM_2017_Rusumo_325		Martin Sindikubwabo, Toa Avalos	2		T2-8			Milvus migrans	Black Kite
T2-8	HumanObservation	ARCOS_ILAM_2017_Rusumo_326		Martin Sindikubwabo, Toa Avalos	1		T2-8			Tridoides sharpei	Black-lored Babbler
T2-9	HumanObservation	ARCOS_ILAM_2017_Rusumo_327		Martin Sindikubwabo, Toa Avalos	1		T2-9			Buteo augur	Augur Bazzard
T2-9	HumanObservation	ARCOS_ILAM_2017_Rusumo_328		Martin Sindikubwabo, Toa Avalos	15		T2-9			Quelea quelea	Red-billed Quelea
T2-9	HumanObservation	ARCOS_ILAM_2017_Rusumo_329		Martin Sindikubwabo, Toa Avalos	1		T2-9			Turtur tympanistria	Tambourine Dove
T2-9	HumanObservation	ARCOS_ILAM_2017_Rusumo_330		Martin Sindikubwabo, Toa Avalos	1		T2-9			Turtur tympanistria	Tambourine Dove
T2-8	HumanObservation	ARCOS_ILAM_2017_Rusumo_331		Martin Sindikubwabo, Toa Avalos	2		T2-8			Lanius excubitoroides	Grey-backed Fiscal
T2-8	HumanObservation	ARCOS_ILAM_2017_Rusumo_332		Martin Sindikubwabo, Toa Avalos	1		T2-8			Vidua obtusa	Broad-tailed Whydah
T2-8	HumanObservation	ARCOS_ILAM_2017_Rusumo_333		Martin Sindikubwabo, Toa Avalos	1		T2-8			Uraeginthus bengalus	Red-cheeked Cordon-bleu
T2-7	HumanObservation	ARCOS_ILAM_2017_Rusumo_334		Martin Sindikubwabo, Toa Avalos	1		T2-7			Falco tinnunclus	Common Kestrel
T2-7	HumanObservation	ARCOS_ILAM_2017_Rusumo_335		Martin Sindikubwabo, Toa Avalos	1		T2-7			Pycnonotus barbatus	Common Bulbul
T2-7	HumanObservation	ARCOS_ILAM_2017_Rusumo_336		Martin Sindikubwabo, Toa Avalos	1		T2-7			Paslidoprocne holomelas	Black Sow-wing
T2-7	HumanObservation	ARCOS_ILAM_2017_Rusumo_337		Martin Sindikubwabo, Toa Avalos	1		T2-7			Ardea melanocephala	Black-headed Heron
T2-6	HumanObservation	ARCOS_ILAM_2017_Rusumo_338		Martin Sindikubwabo, Toa Avalos	1		T2-6			poicephalus meyeri	Brown Parrot
T2-6	HumanObservation	ARCOS_ILAM_2017_Rusumo_339		Martin Sindikubwabo, Toa Avalos	1		T2-6			Calamonastes undosus	Miombo Wren-Warbler
T2-5	HumanObservation	ARCOS_ILAM_2017_Rusumo_340		Martin Sindikubwabo, Toa Avalos	1		T2-5			Chalcomitra senegalensis	Scarlet-chested Sunbird
