id	institutionCode	collectionCode	basisOfRecord	occurrenceID	catalogNumber	recordedBy	individualCount	year	continent	country	locality	minimumElevationInMeters	maximumElevationInMeters	decimalLatitude	decimalLongitude	scientificName	kingdom	phylum	class	order	family	taxonRank	vernacularName	taxonRemarks
urn:catalog:ARCOS:ECHUYA_2012:28	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:28	28	"MARTIN,JAMES"	2	2012	Africa	Uganda	Echuya Forest	2501	2501	-1.249582	29.810333	Cuculus solitarius	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	CUCULIDAE	species	Red-chested cuckoo	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:29	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:29	29	"MARTIN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2501	2501	-1.249582	29.810333	Zosterops senegalensis	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	ZOSTEROPIDAE	species	yellow white eye	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:30	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:30	30	"MARTIN,JAMES"	2	2012	Africa	Uganda	Echuya Forest	2501	2501	-1.249582	29.810333	Bradypterus cinnamomeus	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	SYLVIIDAE	species	Cinnamon bracken warbler	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:31	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:31	31	"MARTIN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2501	2501	-1.249582	29.810333	Andropadus latirostris	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	PYCNONOTIDAE	species	Yellow-whiskered greenbul	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:32	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:32	32	"MARTIN,JAMES"	2	2012	Africa	Uganda	Echuya Forest	2549	2549	-1.251632	29.81125	Andropadus latirostris	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	PYCNONOTIDAE	species	Yellow-whiskered greenbul	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:33	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:33	33	"MARTIN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2549	2549	-1.251632	29.81125	Apaloderma narina	ANIMALIA	CHORDATA	BIRDS	TROGONIFORMES	TROGONIDAE	species	Narnas trogon	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:34	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:34	34	"MARTIN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2549	2549	-1.251632	29.81125	Laniarius poensis	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	MALACONOTIDAE	species	Moutain black boubou	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:35	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:35	35	"MARTIN,JAMES"	4	2012	Africa	Uganda	Echuya Forest	2549	2549	-1.251632	29.81125	Bradypterus cinnamomeus	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	SYLVIIDAE	species	cinnamon bracken warbler	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:36	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:36	36	"MARTIN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2549	2549	-1.251632	29.81125	Chloropeta similis	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	SYLVIIDAE	species	Mountain yellow warbler	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:37	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:37	37	"MARTIN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2549	2549	-1.251632	29.81125	Prinia bairdii	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	CISTICOLIDAE	species	Banded prinia	Status: Least Concern
