id	taxonID	scientificName	kingdom	phylum	class	order	family	genus	taxonRank	vernacularName	taxonRemarks	datasetName
65	65	Pycononotus barbatus	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	PYCNONOTIDAE	Pycononotus	species	Common bulbul	Status: Least Concern	echuya2012checklist
66	66	Saxicola torquata	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	MUSCICAPIDAE	Saxicola	species	Common Stonechat	Status: Least concern	echuya2012checklist
67	67	Serinus citrinelloides	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	FRINGILLIDAE	Serinus	species	African citril	Status: Least Concern	echuya2012checklist
68	68	Serinus mozambicus	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	FRINGILLIDAE	Serinus	species	Yellow-fronted Canary	Status: Least Concern	echuya2012checklist
69	69	Serinus striolatus	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	FRINGILLIDAE	Serinus	species	Streaky Seedeater	Status: Least Concern	echuya2012checklist
70	70	Sernus striolatus	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	FRINGILLIDAE	Sernus	species	Streaky Seedeater	Status: Least Concern	echuya2012checklist
71	71	Stephanoaetus coronatus	ANIMALIA	CHORDATA	BIRDS	ACCIPITRIFORMES	ACCIPITRIDAE	Stephanoaetus	species	Crowned eagle	Status: Near Threatened	echuya2012checklist
72	72	Streptopelia lugens	ANIMALIA	CHORDATA	BIRDS	COLUMBIFORMES	COLUMBIDAE	Streptopelia	species	Dusky Turtle Dove	Status: Least Concern	echuya2012checklist
73	73	Streptopelia semitorquata	ANIMALIA	CHORDATA	BIRDS	COLUMBIFORMES	COLUMBIDAE	Streptopelia	species	Red-eyed Dove	Status: Least Concern	echuya2012checklist
74	74	Tchagra australis	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	MALACONOTIDAE	Tchagra	species	Brown-crowned Tchagra	Status: Least Concern	echuya2012checklist
75	75	Telophorus dohertyi	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	MALACONOTIDAE	Telophorus	species	Dohety's bushshrike	Status: Least Concern	echuya2012checklist
76	76	Treron calva	ANIMALIA	CHORDATA	BIRDS	COLUMBIFORMES	COLUMBIDAE	Treron	species	African Green-Pigeon	Status: Least Concern	echuya2012checklist
77	77	Turdoides jardineii	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	TIMALIIDAE	Turdoides	species	Arrow-marked Babbler	Status: Least Concern	echuya2012checklist
78	78	Turdus olivaceus	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	TURDIDAE	Turdus	species	Olive thrush	Status: Least Concern	echuya2012checklist
79	79	Turtur tympanistria	ANIMALIA	CHORDATA	BIRDS	COLUMBIFORMES	COLUMBIDAE	Turtur	species	Olive thrush	Status: Least concern	echuya2012checklist
82	82	Zosterops senegalensis	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	ZOSTEROPIDAE	Zosterops	species	Yellow-rumped tinkerbird	Status: Least Concern	echuya2012checklist
